	Unnamed: 0	id	utterances	utterances_ntclean	sender	addressee	Comfun1	dial_type	Comfun2	interjection	subobjvrb	aux_keywords	Dim1	Dim2	Comfun3	dialog_policy	dialog_CA
27	27	DID1	you have won the game	you have won the game	p1	p2	Inform	chitChatHh		game	you game game have won	have won the	Task Management		Inform	Progressive	FPPinsert
28	28	DID1	if not you have lost the game	if not you have lost the game	p1	p2	Inform	chitChatHh		game	you game game have lost	have lost the	Task Management		Inform	Progressive	FPPinsert
29	29	DID1	okay	okay	p2	p1	Autopositive	chitChatHh		okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
30	30	DID1	and	and	p2	p1	Turngrab	chitChatHh		and	 		Turn Management		Turngrab	CoOccur	FPPinsert
31	31	DID1	you should	you should	p1	p2	Instruct	chitChatHh			you should		Task Management		Instruct	Binding	FPPbase
32	32	DID1	mhm	mhm	p1	p2	Autopositive	chitChatHh	turnRelease 	mhm	 		Auto Feedback	 Turn Management	Autopositive	CoOccur	SPPinsert
33	33	DID1	what is it what you answer	what is it what you answer	p2	p1	Setquestion	chitChatHh		what what	what it what you what is answer		Task Management		Setquestion	Binding	FPPbase
34	34	DID1	uh is	uh is	p2	p1	Turnkeep	chitChatHh	stalling	uh	 is		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
35	35	DID1	is	is	p2	p1	Selfcorrection	chitChatHh			 is		Other Communication Management		Selfcorrection	Progressive	FPPinsert
36	36	DID1	uhm	uhm	p1	p2	Turnaccept	chitChatHh	stalling		 		Turn Management	 Time Management	Turnaccept	Progressive	FPPinsert
37	37	DID1	could you repeat the questions	could you repeat the questions	p1	p2	Autonegative	chitChatHh		questions	you questions questions could repeat	could you repeat	Auto Feedback		Autonegative	CoOccur	SPPinsert
38	38	DID1	could you clarify the question	could you clarify the question	p1	p2	Autonegative	chitChatHh		question	you question question could clarify	could you clarify	Auto Feedback		Autonegative	CoOccur	SPPinsert
39	39	DID1	uhm	uhm	p2	p1	Turntake	chitChatHh	stalling		 		Turn Management	 Time Management	Turntake	CoOccur	FPPinsert
40	40	DID1	are you just saying yes or no or	are you just saying yes or no or	p2	p1	Choicequestion	chitChatHh		yes or no or	you no are saying	are you just	Task Management		Choicequestion	Binding	FPPbase
41	41	DID1	uh	uh	p2	p1	Turnkeep	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
42	42	DID1	no	no	p1	p2	Propositionalanswer	chitChatHh	turnGrab	no	 		Task Management	 Turn Management	Propositionalanswer	Progressive	SPPbase
43	43	DID1	i will if you ask me yes or no question i will say yes or no	i will if you ask me yes or no question i will say yes or no	p1	p2	Inform	chitChatHh		i yes or question i yes or no	i you question i me will ask will say	will say yes	Task Management		Inform	Progressive	FPPinsert
44	44	DID1	i will	i will	p1	p2	Selfcorrection	chitChatHh		i	i will		Other Communication Management		Selfcorrection	Progressive	FPPinsert
45	45	DID1	okay	okay	p2	p1	Autopositive	chitChatHh		okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
46	46	DID1	uhm	uhm	p1	p2	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
47	47	DID1	if you ask me a more open ended question i will try to answer the question	if you ask me a more open ended question i will try to answer the question	p1	p2	Inform	chitChatHh		a question i question	you question i question question question ask ended will try answer	will try to to answer the	Task Management		Inform	Progressive	FPPinsert
48	48	DID1	uh	uh	p1	p2	Turnkeep	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
49	49	DID1	i wo not always have an answer to your question though	i wo not always have an answer to your question though	p1	p2	Inform	chitChatHh		i answer question	i answer question answer wo have	wo nt always	Task Management		Inform	Progressive	FPPinsert
50	50	DID1	okay	okay	p2	p1	Autopositive	chitChatHh		okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
51	51	DID1	uhm	uhm	p1	p2	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
52	52	DID1	alright	alright	p1	p2	Interactionstructuring	chitChatHh		alright	 		Dialogue Structuring		Interactionstructuring	Binding	FPPbase
53	53	DID1	do you understand the rules	do you understand the rules	p1	p2	Propositionalquestion	chitChatHh		rules	you rules rules do understand	do you understand	Task Management		Propositionalquestion	Binding	FPPbase
54	54	DID1	yeah	yeah	p2	p1	Confirm	chitChatHh		yeah	 		Task Management		Confirm	Progressive	SPPbase
55	55	DID1	would you like me to repeat anything	would you like me to repeat anything	p1	p2	Offer	chitChatHh		anything	you anything me anything would like repeat	would you like to repeat anything	Task Management		Offer	CoOccur	FPPbase
56	56	DID1	would you	would you	p1	p2	Selfcorrection	chitChatHh			you would		Other Communication Management		Selfcorrection	Progressive	FPPinsert
57	57	DID1	no	no	p2	p1	Declineoffer	chitChatHh		no	 		Task Management		Declineoffer	Progressive	SPPbase
58	58	DID1	i think i understood everything	i think i understood everything	p2	p1	Inform	chitChatHh		i i everything	i i everything everything think understood		Task Management		Inform	Progressive	FPPinsert
59	59	DID1	mh	mh	p2	p1	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
60	60	DID1	alright	alright	p1	p2	Autopositive	chitChatHh		alright	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
61	61	DID1	alright and one more important thing	alright and one more important thing	p1	p2	Interactionstructuring	chitChatHh		alright and thing	thing 		Dialogue Structuring		Interactionstructuring	Binding	FPPbase
62	62	DID1	and one more important thing	and one more important thing	p1	p2	Inform	chitChatHh		and thing	thing 		Task Management		Inform	Progressive	FPPinsert
63	63	DID1	i will only be female famous people	i will only be female famous people	p1	p2	Inform	chitChatHh		i people	i people will be	will only be	Task Management		Inform	Progressive	FPPinsert
64	64	DID1	uh	uh	p1	p2	Turnkeep	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
65	65	DID1	ah okay	ah okay	p2	p1	Autopositive	chitChatHh		ah okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
66	66	DID1	mhm	mhm	p1	p2	Allopositive	chitChatHh		mhm	 		Allo Feedback		Allopositive	CoOccur	SPPinsert
67	67	DID1	alright	alright	p1	p2	Autopositive	chitChatHh	interactionStructuring	alright	 		Auto Feedback	 Dialogue Structuring	Autopositive	CoOccur	SPPinsert
68	68	DID1	alright uh	alright uh	p1	p2	Turnkeep	chitChatHh		alright uh	 		Turn Management		Turnkeep	CoOccur	FPPinsert
69	69	DID1	uh	uh	p1	p2	Stalling	chitChatHh		uh	 		Time Management		Stalling	CoOccur	FPPinsert
70	70	DID1	so lets start	so lets start	p1	p2	Suggest	chitChatHh		lets	lets start		Dialogue Structuring		Suggest	Binding	FPPbase
71	71	DID1	what is your first question	what is your first question	p1	p2	Setquestion	chitChatHh	request	what question	what question is		Task Management	 Task Management	Setquestion	Binding	FPPbase
72	72	DID1	are you still alive	are you still alive	p2	p1	Propositionalquestion	chitChatHh	addressRequest 		you are		Ta	 Task Management	Propositionalquestion	Binding	FPPbase
73	73	DID1	no i am not	no i am not	p1	p2	Propositionalanswer	chitChatHh		no i	i am		Ta		Propositionalanswer	Progressive	SPPbase
74	74	DID1	mhm	mhm	p2	p1	Autopositive	chitChatHh	turnTake	mhm	 		Auto Feedback	 Turn Management	Autopositive	CoOccur	SPPinsert
75	75	DID1	uhm	uhm	p2	p1	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
76	76	DID1	uh	uh	p1	p2	Turntake	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turntake	CoOccur	FPPinsert
77	77	DID1	are you from germany	are you from germany	p2	p1	Propositionalquestion	chitChatHh		germany	you germany are		Ta		Propositionalquestion	Binding	FPPbase
78	78	DID1	no i am not from germany	no i am not from germany	p1	p2	Propositionalanswer	chitChatHh		no i germany	i germany am		Ta		Propositionalanswer	Progressive	SPPbase
79	79	DID1	uhm	uhm	p2	p1	Turntake	chitChatHh	stalling		 		Turn Management	 Time Management	Turntake	CoOccur	FPPinsert
80	80	DID1	are you from america	are you from america	p2	p1	Propositionalquestion	chitChatHh		america	you america are		Ta		Propositionalquestion	Binding	FPPbase
81	81	DID1	no i am not from america	no i am not from america	p1	p2	Propositionalanswer	chitChatHh		no i america	i america am		Ta		Propositionalanswer	Progressive	SPPbase
82	82	DID1	uh	uh	p2	p1	Turntake	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turntake	CoOccur	FPPinsert
83	83	DID1	what were you doing when you were alive	what were you doing when you were alive	p2	p1	Setquestion	chitChatHh		what	what you you what were doing were	were you doing	Ta		Setquestion	Binding	FPPbase
84	84	DID1	ehm	ehm	p1	p2	Turntake	chitChatHh	stalling	ehm	 		Turn Management	 Time Management	Turntake	CoOccur	FPPinsert
85	85	DID1	let me think for a minute	let me think for a minute	p1	p2	Pausing	chitChatHh		a minute	me minute let think		Time Management		Pausing	CoOccur	FPPinsert
86	86	DID1	uhm	uhm	p1	p2	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
87	87	DID1	i was	i was	p1	p2	Setanswer	chitChatHh		i	i was		Ta		Setanswer	Progressive	SPPbase
88	88	DID1	i was a princess	i was a princess	p1	p2	Setanswer	chitChatHh		i a princess	i princess was		Ta		Setanswer	Progressive	SPPbase
89	89	DID1	i was	i was	p1	p2	Selfcorrection	chitChatHh		i	i was		Other Communication Management		Selfcorrection	Progressive	FPPinsert
90	90	DID1	when i was alive	when i was alive	p1	p2	Setanswer	chitChatHh		i	i was		Ta		Setanswer	Progressive	SPPbase
91	91	DID1	and where are you from	and where are you from	p2	p1	Setquestion	chitChatHh		and	you are		Ta		Setquestion	Binding	FPPbase
92	92	DID1	i am from england	i am from england	p1	p2	Setanswer	chitChatHh		i england	i england am		Ta		Setanswer	Progressive	SPPbase
93	93	DID1	okay	okay	p2	p1	Autopositive	chitChatHh		okay	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
94	94	DID1	uhm	uhm	p2	p1	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
95	95	DID1	uh	uh	p2	p1	Turnkeep	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
96	96	DID1	where did you die	where did you die	p2	p1	Setquestion	chitChatHh			you did die	did you die	Ta		Setquestion	Binding	FPPbase
97	97	DID1	just a second	just a second	p1	p2	Turnkeep	chitChatHh	pausing	a	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
98	98	DID1	uhm	uhm	p1	p2	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
99	99	DID1	i died in paris	i died in paris	p1	p2	Setanswer	chitChatHh		i paris	i paris died		Ta		Setanswer	Progressive	SPPbase
100	100	DID1	mhm	mhm	p2	p1	Autopositive	chitChatHh		mhm	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
101	101	DID1	uhm	uhm	p2	p1	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
102	102	DID1	uhm	uhm	p2	p1	Turnkeep	chitChatHh	stalling		 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
103	103	DID1	you are princess diana	you are princess diana	p2	p1	Uncertain	chitChatHh		diana	you diana are		Ta		Uncertain	CoOccur	SPPbase
104	104	DID1	uh	uh	p2	p1	Turnkeep	chitChatHh	stalling	uh	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
105	105	DID1	yes	yes	p1	p2	Confirm	chitChatHh		yes	 		Ta		Confirm	Progressive	SPPbase
106	106	DID1	that is the correct answer	that is the correct answer	p1	p2	Inform	chitChatHh		answer	that answer is		Ta		Inform	Progressive	FPPinsert
107	107	DID1	good job	good job	p1	p2	Allopositive	chitChatHh	closing	job	job 		Allo Feedback	 Dialogue Structuring	Allopositive	CoOccur	SPPinsert
108	108	DID1	okay	okay	p2	p1	Autopositive	chitChatHh	closing	okay	 		Auto Feedback	 Dialogue Structuring	Autopositive	CoOccur	SPPinsert
109	109	DID2	right	right	p1	p2	Turntake	taskDrivenHh	opening	right	 		Turn Management	 Dialogue Structuring	Turntake	CoOccur	FPPinsert
110	110	DID2	nonvocal	nonvocal	p2	p1	Autopositive	taskDrivenHh	alloPositive 		 		Auto Feedback	 Allo Feedback	Autopositive	CoOccur	SPPinsert
111	111	DID2	go south and you will pass some cliffs on your right	go south and you will pass some cliffs on your right	p1	p2	Instruct	taskDrivenHh		and cliffs right	you cliffs right cliffs go will pass	will pass some	Ta		Instruct	Binding	FPPbase
112	112	DID2	okay	okay	p2	p1	Acceptrequest	taskDrivenHh		okay	 		Ta		Acceptrequest	Binding	SPPbase
113	113	DID2	yeah	yeah	p2	p1	Acceptrequest	taskDrivenHh		yeah	 		Ta		Acceptrequest	Binding	SPPbase
114	114	DID2	and keep going down south	and keep going down south	p1	p2	Instruct	taskDrivenHh		and	 keep going		Ta		Instruct	Binding	FPPbase
115	115	DID2	mmhmm	mmhmm	p2	p1	Acceptrequest	taskDrivenHh		mmhmm	mmhmm 		Ta		Acceptrequest	Binding	SPPbase
116	116	DID2	past a forge on your right	past a forge on your right	p1	p2	Instruct	taskDrivenHh		a forge right	forge right 		Ta		Instruct	Binding	FPPbase
117	117	DID2	past a what	past a what	p2	p1	Setquestion	taskDrivenHh		a what	what 		Auto Feedback		Setquestion	Binding	FPPbase
118	118	DID2	a forge	a forge	p1	p2	Answer	taskDrivenHh		a forge	forge 		Allo Feedback		Answer	Progressive	SPPbase
119	119	DID2	well	well	p1	p2	Turnkeep	taskDrivenHh		well	 		Turn Management		Turnkeep	CoOccur	FPPinsert
120	120	DID2	nonvocal keep going down	nonvocal keep going down	p1	p2	Instruct	taskDrivenHh			 keep going		Ta		Instruct	Binding	FPPbase
121	121	DID2	right	right	p1	p2	Autopositive	taskDrivenHh	turnTake	right	 		Auto Feedback	 Turn Management	Autopositive	CoOccur	SPPinsert
122	122	DID2	and then loop towards the east	and then loop towards the east	p1	p2	Instruct	taskDrivenHh		and loop east	loop east 		Ta		Instruct	Binding	FPPbase
123	123	DID2	underneath what wheat fields	underneath what wheat fields	p2	p1	Checkquestion	taskDrivenHh		what wheat fields	what wheat fields what 		Ta		Checkquestion	Binding	FPPbase
124	124	DID2	so i go straight	so i go straight	p2	p1	Checkquestion	taskDrivenHh		so i	i go		Ta		Checkquestion	Binding	FPPbase
125	125	DID2	not as far down as that	not as far down as that	p1	p2	Disconfirm	taskDrivenHh			 		Ta		Disconfirm	Progressive	SPPbase
126	126	DID2	not as far down as that	not as far down as that	p2	p1	Autopositive	taskDrivenHh			 		Auto Feedback		Autopositive	CoOccur	SPPinsert
127	127	DID2	no	no	p1	p2	Allopositive	taskDrivenHh		no	 		Allo Feedback		Allopositive	CoOccur	SPPinsert
128	128	DID2	right	right	p2	p1	Acceptrequest	taskDrivenHh	autoPositive 	right	 		Ta	 Auto Feedback	Acceptrequest	Binding	SPPbase
129	129	DID2	and do a loop	and do a loop	p2	p1	Autopositive	taskDrivenHh		and a loop	loop loop do		Auto Feedback		Autopositive	CoOccur	SPPinsert
130	130	DID2	and do a loop	and do a loop	p1	p2	Allopositive	taskDrivenHh		and a loop	loop loop do		Allo Feedback		Allopositive	CoOccur	SPPinsert
131	131	DID2	and then start going back up again	and then start going back up again	p1	p2	Instruct	taskDrivenHh		and	 start going		Ta		Instruct	Binding	FPPbase
132	132	DID2	You are going northeast	You are going northeast	p1	p2	Instruct	taskDrivenHh			You are going	are going northeast	Ta		Instruct	Binding	FPPbase
133	133	DID2	right	right	p2	p1	Acceptrequest	taskDrivenHh		right	 		Ta		Acceptrequest	Binding	SPPbase
134	134	DID2	right	right	p1	p2	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
135	135	DID2	you there is a	you there is a	p1	p2	Checkquestion	taskDrivenHh		a	you is		Ta		Checkquestion	Binding	FPPbase
136	136	DID2	and am i come like between these cliffs and pine or	and am i come like between these cliffs and pine or	p2	p1	Choicequestion	taskDrivenHh		and i cliffs and pine or	i cliffs pine am come	am i come	Ta		Choicequestion	Binding	FPPbase
137	137	DID2	oh	oh	p1	p2	Autopositive	taskDrivenHh		oh	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
138	138	DID2	you past the pine	you past the pine	p1	p2	Answer	taskDrivenHh		pine	you pine 		Ta		Answer	Progressive	SPPbase
139	139	DID2	pines on your right	pines on your right	p1	p2	Inform	taskDrivenHh		pines right	pines right 		Ta		Inform	Progressive	FPPinsert
140	140	DID2	right	right	p2	p1	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
141	141	DID2	okay	okay	p2	p1	Acceptrequest	taskDrivenHh		okay	 		Ta		Acceptrequest	Binding	SPPbase
142	142	DID2	and go up past it	and go up past it	p1	p2	Instruct	taskDrivenHh		and	 go		Ta		Instruct	Binding	FPPbase
143	143	DID2	til you are just above the top of the pine	til you are just above the top of the pine	p1	p2	Instruct	taskDrivenHh		top pine	you top pine are		Ta		Instruct	Binding	FPPbase
144	144	DID2	right	right	p2	p1	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
145	145	DID2	okay	okay	p2	p1	Acceptrequest	taskDrivenHh		okay	 		Ta		Acceptrequest	Binding	SPPbase
146	146	DID2	and then east again	and then east again	p1	p2	Instruct	taskDrivenHh		and	 		Ta		Instruct	Binding	FPPbase
147	147	DID2	east again	east again	p2	p1	Autopositive	taskDrivenHh			 		Auto Feedback		Autopositive	CoOccur	SPPinsert
148	148	DID2	east again	east again	p1	p2	Allopositive	taskDrivenHh			 		Allo Feedback		Allopositive	CoOccur	SPPinsert
149	149	DID2	right	right	p2	p1	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
150	150	DID2	okay	okay	p2	p1	Acceptrequest	taskDrivenHh		okay	 		Ta		Acceptrequest	Binding	SPPbase
151	151	DID2	right	right	p2	p1	Autopositive	taskDrivenHh	turnRelease	right	 		Auto Feedback	 Turn Management	Autopositive	CoOccur	SPPinsert
152	152	DID2	sorry	sorry	p2	p1	Apology	taskDrivenHh		sorry	 		Social Obligation Management		Apology	Progressive	FPPinsert
153	153	DID2	right	right	p1	p2	Autopositive	taskDrivenHh	alloPositive 	right	 		Auto Feedback	 Allo Feedback	Autopositive	CoOccur	SPPinsert
154	154	DID2	right	right	p2	p1	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
155	155	DID2	right	right	p1	p2	Autopositive	taskDrivenHh	alloPositive 	right	 		Auto Feedback	 Allo Feedback	Autopositive	CoOccur	SPPinsert
156	156	DID2	east	east	p1	p2	Instruct	taskDrivenHh		east	east 		Ta		Instruct	Binding	FPPbase
157	157	DID2	sort of for a wee bit	sort of for a wee bit	p1	p2	Inform	taskDrivenHh		a bit	bit 		Ta		Inform	Progressive	FPPinsert
158	158	DID2	um	um	p1	p2	Turnkeep	taskDrivenHh	stalling	um	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
159	159	DID2	and then start going southeast	and then start going southeast	p1	p2	Instruct	taskDrivenHh		and	 start going		Ta		Instruct	Binding	FPPbase
160	160	DID2	right	right	p2	p1	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
161	161	DID2	okay	okay	p2	p1	Acceptrequest	taskDrivenHh		okay	 		Ta		Acceptrequest	Binding	SPPbase
162	162	DID2	pine forest on your way	pine forest on your way	p1	p2	Inform	taskDrivenHh		forest way	forest way 		Ta		Inform	Progressive	FPPinsert
163	163	DID2	ehm	ehm	p2	p1	Autonegative	taskDrivenHh	turnTake	ehm	 		Auto Feedback	 Turn Management	Autonegative	CoOccur	SPPinsert
164	164	DID2	yeah that is right	yeah that is right	p2	p1	Agreement	taskDrivenHh		yeah	that is		Ta		Agreement	Progressive	SPPbase
165	165	DID2	uh huh	uh huh	p2	p1	Agreement	taskDrivenHh		uh huh	 		Ta		Agreement	Progressive	SPPbase
166	166	DID2	right	right	p1	p2	Autopositive	taskDrivenHh	alloPositive 	right	 		Auto Feedback	 Allo Feedback	Autopositive	CoOccur	SPPinsert
167	167	DID2	right okay	right okay	p2	p1	Acceptrequest	taskDrivenHh		right okay	 		Ta		Acceptrequest	Binding	SPPbase
168	168	DID2	til you get to just underneath pine forest	til you get to just underneath pine forest	p1	p2	Instruct	taskDrivenHh		forest	you forest get		Ta		Instruct	Binding	FPPbase
169	169	DID2	right	right	p2	p1	Acceptrequest	taskDrivenHh		right	 		Ta		Acceptrequest	Binding	SPPbase
170	170	DID2	and then start going south	and then start going south	p1	p2	Instruct	taskDrivenHh		and	 start going		Ta		Instruct	Binding	FPPbase
171	171	DID2	okay	okay	p2	p1	Acceptrequest	taskDrivenHh		okay	 		Ta		Acceptrequest	Binding	SPPbase
172	172	DID2	and then go east again	and then go east again	p1	p2	Instruct	taskDrivenHh		and	 go		Ta		Instruct	Binding	FPPbase
173	173	DID2	and	and	p1	p2	Turnkeep	taskDrivenHh	stalling	and	 		Turn Management	 Time Management	Turnkeep	CoOccur	FPPinsert
174	174	DID2	you loop round about a bakery	you loop round about a bakery	p1	p2	Instruct	taskDrivenHh		a bakery	you bakery round loop		Ta		Instruct	Binding	FPPbase
175	175	DID2	yeah	yeah	p2	p1	Acceptrequest	taskDrivenHh		yeah	 		Ta		Acceptrequest	Binding	SPPbase
176	176	DID2	right	right	p1	p2	Autopositive	taskDrivenHh	alloPositive 	right	 		Auto Feedback	 Allo Feedback	Autopositive	CoOccur	SPPinsert
177	177	DID2	I am going east underneath the bakery	I am going east underneath the bakery	p2	p1	Checkquestion	taskDrivenHh		I bakery	I bakery am going	am going east	Ta		Checkquestion	Binding	FPPbase
178	178	DID2	underneath the bakery	underneath the bakery	p1	p2	Confirm	taskDrivenHh		bakery	bakery 		Ta		Confirm	Progressive	SPPbase
179	179	DID2	right	right	p2	p1	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
180	180	DID2	uh huh right	uh huh right	p1	p2	Allopositive	taskDrivenHh		uh huh right	 		Allo Feedback		Allopositive	CoOccur	SPPinsert
181	181	DID2	okay	okay	p2	p1	Acceptrequest	taskDrivenHh		okay	 		Ta		Acceptrequest	Binding	SPPbase
182	182	DID2	and coming back round towards the west	and coming back round towards the west	p1	p2	Instruct	taskDrivenHh		and west	west coming		Ta		Instruct	Binding	FPPbase
183	183	DID2	whoa whoa	whoa whoa	p2	p1	Autonegative	taskDrivenHh		whoa whoa	 		Auto Feedback		Autonegative	CoOccur	SPPinsert
184	184	DID2	wait a minute	wait a minute	p2	p1	Pausing	taskDrivenHh		a minute	minute wait		Time Management		Pausing	CoOccur	FPPinsert
185	185	DID2	right	right	p2	p1	Autopositive	taskDrivenHh		right	 		Auto Feedback		Autopositive	CoOccur	SPPinsert
186	186	DID2	I am coming down by the pine forest	I am coming down by the pine forest	p2	p1	Inform	taskDrivenHh		I forest	I forest am coming	am coming down	Ta		Inform	Progressive	FPPinsert
187	187	DID2	I am going right straight down	I am going right straight down	p2	p1	Inform	taskDrivenHh		I	I am going	am going right	Ta		Inform	Progressive	FPPinsert
